,Developer,Año,Cantidad de Items,Contenido Free
0,+7 Software,2016,4,0.0
1,"+Mpact Games, LLC.",2017,3,0.0
2,.M.Y.W.,2016,2,0.0
3,.ez Games,2017,5,0.0
4,07th Expansion,2015,2,0.0
5,07th Expansion,2016,5,0.0
6,07th Expansion,2017,4,0.0
7,08 Games,2016,2,0.0
8,100 Plus Games llc,2017,5,0.0
9,100 Stones Interactive,2016,2,0.0
10,100 Stones Interactive,2017,6,0.0
11,10101 Software,2016,1,0.0
12,10ft Games,2017,2,0.0
13,10kbit Games,2017,9,0.0
14,10ravens s.r.o.,2017,2,0.0
15,"10th Art Studio,Adventure Productions",2014,2,0.0
16,10tons Ltd,2012,3,0.0
17,10tons Ltd,2014,6,0.0
18,10tons Ltd,2015,11,0.0
19,10tons Ltd,2016,12,0.0
20,10tons Ltd,2017,14,0.0
21,10x10 Room,2017,4,0.0
22,11 bit studios,2011,3,0.0
23,11 bit studios,2013,11,0.0
24,11 bit studios,2014,6,0.0
25,11 bit studios,2015,3,0.0
26,11 bit studios,2016,3,0.0
27,12 East Games,2017,3,0.0
28,12 Hit Combo,2016,3,0.0
29,1337 &amp; Senri AB,2015,2,0.0
30,13AM Games,2016,20,0.0
31,14 Dimension Enterprise,2017,4,0.0
32,14 Hours Productions,2017,6,50.0
33,14Dimension Enterprise,2015,3,0.0
34,14Dimension Enterprise,2016,2,0.0
35,14° East,2001,1,0.0
36,16 Swans,2017,4,0.0
37,16bit Nights,2016,8,0.0
38,17-BIT,2013,2,0.0
39,17-BIT,2015,2,0.0
40,17Studio,2016,3,0.0
41,1888 Games,2016,5,0.0
42,1C Company,2004,1,0.0
43,1C Company,2007,1,0.0
44,1C Company,2008,4,0.0
45,1C Company,2009,6,0.0
46,1C Company,2010,5,0.0
47,1C Company,2011,2,0.0
48,"1C Game Studios,777 Studios",2016,3,0.0
49,1C Wireless,2014,4,0.0
50,1C Wireless,2015,2,0.0
51,1C-Avalon,2011,2,0.0
52,1C-SoftClub,2012,4,0.0
53,1C-SoftClub,2014,2,0.0
54,1C: Maddox Games,2006,1,0.0
55,1C: Maddox Games,2011,1,0.0
56,1C:InoCo,2009,7,0.0
57,1C:InoCo,2010,2,0.0
58,1C:InoCo,2011,5,0.0
59,1CC Games,2016,4,0.0
60,2 Monkeys,2016,2,0.0
61,2 Zombie Games,2017,9,0.0
62,2 players,2016,1,0.0
63,2-Volt Games,2017,3,100.0
64,2015,2004,1,0.0
65,2020 Venture,2016,3,0.0
66,20letpast,2017,2,0.0
67,22cans,2016,5,0.0
68,22cans,2017,3,0.0
69,24 Caret Games,2013,2,0.0
70,251 Games,2014,2,0.0
71,26k,2017,1,0.0
72,29Palms Scenery Design,2016,1,0.0
73,"29Palms,JaraNet",2017,1,0.0
74,2Awesome Studio,2017,2,0.0
75,2B_GAMES,2016,3,0.0
76,2Beats,2017,3,0.0
77,2Bit Studios,2016,3,0.0
78,"2Chance Projects,IIchan Eroge Team",2015,4,100.0
79,"2Chance Projects,IIchan Eroge Team,DjSM",2017,3,0.0
80,2D BOY,2008,1,0.0
81,"2D Heroes,Ursa Games",2016,3,0.0
82,"2D Heroes,Ursa Games",2017,2,0.0
83,2DArray,2013,3,0.0
84,2DEngine,2011,2,0.0
85,2DEngine,2015,3,0.0
86,2DEngine.com,2008,1,0.0
87,2DHD,2016,2,0.0
88,2Dog Games,2017,3,0.0
89,"2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux)",2014,2,0.0
90,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014,2,0.0
91,"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",2014,2,0.0
92,"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",2015,2,0.0
93,"2K Australia,Gearbox Software,Aspyr (Mac,Linux)",2014,2,0.0
94,"2K Boston,2K Australia",2007,2,0.0
95,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)",2016,2,0.0
96,2K Czech,2010,4,0.0
97,"2K Czech,Feral Interactive (Mac)",2010,3,0.0
98,"2K Czech,Feral Interactive (Mac)",2011,1,0.0
99,2K Marin,2013,4,0.0
100,"2K Marin,2K China,Digital Extremes,2K Australia,Blind Squirrel",2016,4,0.0
101,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010,1,0.0
102,2Pi Interactive Pvt. Ltd.,2016,5,0.0
103,2Play,2013,4,0.0
104,"2Play,Fredrik Häthén Music",2017,4,0.0
105,"2Play,Prasius",2017,5,0.0
106,2SD,2015,6,0.0
107,"2XL Games,Blitworks",2017,2,0.0
108,2by3 Games,2010,2,0.0
109,2by3 Games,2012,2,0.0
110,2by3 Games,2013,2,0.0
111,2by3 Games,2014,1,0.0
112,2by3 Games,2015,2,0.0
113,2x2 Games,2012,4,0.0
114,2x2 Games,2013,2,0.0
115,2xMilk,2017,6,0.0
116,3 Core Studio,2013,1,0.0
117,3 Fright,2016,4,0.0
118,3 Minute Games,2017,3,0.0
119,3 Sprockets,2012,2,0.0
120,3 Sprockets,2013,2,0.0
121,3 Sprockets,2014,2,0.0
122,3 Sprockets,2017,3,0.0
123,30.06 Studios Ltd,2014,2,0.0
124,300 fps,2017,2,0.0
125,3000AD,2009,4,0.0
126,3000AD,2014,8,0.0
127,3000AD,2015,8,0.0
128,3100 games,2016,4,0.0
129,313 Studios,2017,3,0.0
130,314 Arts,2016,4,0.0
131,"343 Industries,Vanguard Games",2014,1,0.0
132,34BigThings srl,2015,3,0.0
133,34BigThings srl,2016,3,0.0
134,34BigThings srl,2017,5,0.0
135,373vFS Greg,2017,1,0.0
136,"38,9_Degrees",2017,6,0.0
137,3909,2013,2,0.0
138,3Crew,2016,3,0.0
139,3D Avenue,2016,3,0.0
140,3D Realms,1996,2,100.0
141,3D Realms (Apogee Software),1990,3,0.0
142,3D Realms (Apogee Software),1991,5,0.0
143,3D Realms (Apogee Software),1992,3,0.0
144,3D Realms (Apogee Software),1993,3,0.0
145,3D Realms (Apogee Software),1994,1,0.0
146,3D Realms (Apogee Software),1995,2,0.0
147,3D Realms (Apogee Software),1997,1,0.0
148,3D2 Entertainment,2017,4,0.0
149,3DClouds.it,2017,9,0.0
150,3DDUO,2016,10,0.0
151,3DDUO,2017,5,0.0
152,3Dflow SRL,2016,3,0.0
153,3Division,2016,16,0.0
154,3GoGames,2017,2,0.0
155,3f Interactive,2012,2,0.0
156,3f Interactive,2013,2,0.0
157,3y3.net,2017,2,0.0
158,4 Door Lemon,2016,4,0.0
159,4 Friends Games,2017,4,0.0
160,4 Head Studios,2006,2,0.0
161,4 Head Studios,2007,2,0.0
162,4 I Lab,2016,15,33.33
163,4 I Lab,2017,3,0.0
164,4-Panel Footprint,2015,7,0.0
165,40Ggames,2017,4,0.0
166,48h Studio,2014,2,0.0
167,49 Games,2007,3,0.0
168,49 Games,2008,1,0.0
169,4A Games,2014,2,0.0
170,4Bit Games,2015,2,0.0
171,4D Door Games,2017,6,0.0
172,"4EdgesGames,Visumeca",2016,2,0.0
173,4FreaksFiction,2017,3,0.0
174,4Friends Games,2015,2,0.0
175,4HEAD Studios,2002,2,0.0
176,4Head Studios,2008,1,0.0
177,4NetGames,2015,6,0.0
178,4Realms,2015,4,0.0
179,4SKY Game Studio,2017,4,0.0
180,4gency,2016,4,0.0
181,4sdk,2010,2,0.0
182,4th cluster,2016,2,0.0
183,4th cluster,2017,4,100.0
184,5 Bits Games,2014,2,0.0
185,5 Lives Studios,2015,6,0.0
186,505 Games,2013,3,0.0
187,51Pegasi Studios,2016,5,0.0
188,"51Pegasi Studios,Connor Lourenco",2017,4,0.0
189,55 Revolver,2016,2,0.0
190,5Wolf,2016,3,0.0
191,5d Games GmbH,2017,4,0.0
192,5th Cell Media,2012,3,0.0
193,5th Cell Media,2013,4,0.0
194,5th Planet Games,2017,3,100.0
195,651 GAMES,2017,2,0.0
196,68k Studios,2017,2,0.0
197,6L6 Interactive,2016,2,0.0
198,7 Generation Games,2016,2,0.0
199,7 Raven Studios,2016,12,0.0
200,7 Raven Studios,2017,3,0.0
201,7 Road,2016,3,100.0
202,7 Soft Pillows,2015,8,0.0
203,71Games,2017,3,0.0
204,773,2012,2,0.0
205,773,2014,1,0.0
206,773,2016,3,0.0
207,777 Studios,2013,9,22.22
208,777 Studios,2014,1,0.0
209,777 Studios,2015,2,0.0
210,"7Config,BadDoge",2016,4,0.0
211,7DOTS,2017,6,0.0
212,7K Games,2016,2,0.0
213,7TPGames,2016,2,0.0
214,8-Bit Studio,2017,17,29.41
215,800 North,2017,3,0.0
216,800 North and Digital Ranch,2011,2,0.0
217,800 North and Digital Ranch,2014,2,0.0
218,800 North and Digital Ranch,2015,2,0.0
219,8888888 LABS,2013,2,0.0
220,88mm,2014,2,0.0
221,89AM Studio,2016,5,0.0
222,89AM Studio,2017,6,0.0
223,8D Studio,2015,5,0.0
224,8Floor,2015,4,0.0
225,8monkey Labs,2015,1,0.0
226,8th Floor Games,2013,2,0.0
227,9 Eyes Game Studio,2017,2,0.0
228,971 Games,2016,2,0.0
229,9heads Game Studios,2012,6,0.0
230,9heads Game Studios,2014,1,0.0
231,@VincentLTower,2017,3,0.0
232,@YearOfTheBob,2017,2,100.0
233,@lukasinspace,2017,8,0.0
234,@unepic_fran,2014,3,0.0
235,@unepic_fran,2016,9,0.0
236,@unepic_fran,2017,7,0.0
237,"A &amp; B Game Studios, LLC",2016,4,0.0
238,A Crowd of Monsters,2015,7,0.0
239,"A Crowd of Monsters,Sonotrigger",2015,1,0.0
240,A Jolly Corpse,2014,3,0.0
241,A Maniacal Game LP,2017,2,0.0
242,"A Sharp, LLC",2015,2,0.0
243,A Stranger Gravity,2015,4,0.0
244,A Sweet Studio,2017,4,0.0
245,A and F studios,2017,2,0.0
246,"A-Flight,Caipirinha Games",2017,1,0.0
247,"A. Fruit,Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016,2,0.0
248,A. Hagen,2016,1,100.0
249,A.J Starkey Enterprises,2015,4,0.0
250,A.Lepunov,2017,9,0.0
251,A.Y.std,2016,6,0.0
252,A2A Simulations,2015,5,0.0
253,AA Games,2017,2,0.0
254,AAAGAMES s.r.o.,2016,3,0.0
255,AAD Productions,2014,5,0.0
256,AB SOFT,2017,2,0.0
257,ACD Systems International Inc.,2012,1,0.0
258,"ACE Ed-Venture Studio,Artoncode™",2017,2,0.0
259,ACE MADDOX,2015,5,0.0
260,ACE MADDOX,2017,5,0.0
261,ACE Team,2009,2,0.0
262,ACE Team,2011,4,0.0
263,ACE Team,2013,2,0.0
264,ACE Team,2014,6,0.0
265,ACE Team,2016,3,0.0
266,ACE Team,2017,8,0.0
267,ACQUIRE Corp.,2012,1,0.0
268,ACQUIRE Corp.,2015,10,0.0
269,ACQUIRE Corp.,2016,8,0.0
270,"ACSourse,Gamieon, Inc.",2016,3,100.0
271,AECRNIA,2017,6,0.0
272,AEL Entertainment,2015,5,0.0
273,AEL Entertainment,2016,4,0.0
274,AFStudio,2017,2,0.0
275,AG media,2016,2,0.0
276,AGC,2015,3,0.0
277,AGO Games,2015,2,0.0
278,AGP::Studios,2016,5,0.0
279,AHA Entertainment,2016,4,100.0
280,AHEARTFULOFGAMES,2016,6,0.0
281,AIGRIND,2017,9,66.67
282,AIHASTO,2017,2,0.0
283,AIVIK LLC,2016,12,0.0
284,AK Games,2016,1,0.0
285,AKGames,2015,7,0.0
286,AL Games,2017,2,0.0
287,AL-GAME,2016,4,0.0
288,AL-GAME,2017,2,0.0
289,ALEKSANDER CHIEPAIKIN,2017,7,0.0
290,ALICE IN DISSONANCE,2013,1,0.0
291,ALICE IN DISSONANCE,2015,4,0.0
292,ALICE IN DISSONANCE,2016,1,0.0
293,ALLM,2017,16,25.0
294,ALLPlayer Group Ltd.,2014,1,0.0
295,ALTAR Interactive,2005,1,0.0
296,"AMA,Mando Productions",2015,3,0.0
297,AMG GAMES,2017,4,0.0
298,AMIDEA Games,2016,2,0.0
299,AMPLITUDE Studios,2012,1,0.0
300,AMPLITUDE Studios,2014,10,0.0
301,AMPLITUDE Studios,2015,26,23.08
302,AMPLITUDE Studios,2016,4,0.0
303,AMPLITUDE Studios,2017,13,92.31
304,AMS Game Development Association,2016,2,100.0
305,"AN Productions,Poxpower",2017,3,100.0
306,ANDORE,2017,2,0.0
307,ANIM•ACE,2017,2,0.0
308,ANPA.US,2015,12,0.0
309,ANPA.US,2016,24,0.0
310,ANV Team,2017,3,0.0
311,AOS GAME,2015,10,0.0
312,APAS games,2015,2,0.0
313,APGal,2017,1,0.0
314,APPIDEMIC Studios,2015,1,0.0
315,APPLEMINT,2017,3,0.0
316,AQURIA,2017,4,0.0
317,ARB Studios,2010,1,0.0
318,"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",2017,4,50.0
319,AREA 35,2017,1,0.0
320,ARES Inc.,2017,3,0.0
321,ARGames,2017,2,0.0
322,ARS,2017,2,0.0
323,ARTDINK,2008,2,0.0
324,ARTDINK,2015,6,16.67
325,ARTDINK,2016,1,0.0
326,ARTDINK,2017,1,0.0
327,ARTIFACTS,2016,4,0.0
328,ARTIFACTS,2017,2,0.0
329,ARdigitC,2017,2,0.0
330,ASC Games,2015,2,0.0
331,ASGames,2016,4,0.0
332,ASK Homework,2012,2,0.0
333,ASTRO PORT,2011,4,0.0
334,ASTRO PORT,2014,2,0.0
335,ASTRO PORT,2015,6,0.0
336,ASTRO PORT,2016,4,0.0
337,ASTRO PORT,2017,2,0.0
338,AT The Gate Team,2017,3,0.0
339,ATTACK MOUNTAIN,2016,5,0.0
340,ATTACK MOUNTAIN,2017,6,0.0
341,AV media lab,2015,3,0.0
342,AVE,2016,2,0.0
343,AVGames,2016,3,0.0
344,AVOlight,2017,2,0.0
345,AVP,2017,4,0.0
346,AWE Games,2006,2,0.0
347,AYE Technology,2015,3,0.0
348,AYE Technology,2017,5,0.0
349,AZ-Art Development Studio,2015,2,0.0
350,AZAMATIKA,2016,2,0.0
351,Aardman Animations,2014,4,0.0
352,Aaron Arcand,2015,3,0.0
353,Aaron Oldenburg,2015,1,0.0
354,Aartform,2013,1,0.0
355,Aartform Games,2014,3,0.0
356,Aatlantis Code,2015,2,0.0
357,Aatlantis Code,2016,4,0.0
358,Abbey Games,2013,3,0.0
359,Abbey Games,2015,4,0.0
360,Abbey Games,2016,4,0.0
361,Abbey Games,2017,4,0.0
362,Abdulla Hassan Al-Farsi,2016,3,0.0
363,Abigail Corfman,2017,3,0.0
364,Abnormal Software,2015,3,0.0
365,Above and Beyond Technologies,2017,3,0.0
366,Abraham Carreola,2015,2,0.0
367,Abrakam SA,2017,8,50.0
368,Abrupt Games,2015,1,0.0
369,AbsQual Studio,2016,1,0.0
370,Absent Moon Studios,2017,3,0.0
371,Absolut Soft LLC,2016,2,0.0
