,Desarrollador,Año,recommend,sentiment_analysis
0,Valve,1998,True,0
1,Valve,1998,True,2
2,Valve,1998,True,1
3,Valve,1998,True,2
4,Valve,1998,True,2
5,Valve,1998,True,0
6,Valve,1998,True,2
7,Valve,1998,True,2
8,Valve,1998,True,1
9,Valve,1998,True,2
10,Valve,1998,True,2
11,Valve,1998,True,2
12,Valve,1998,True,2
13,Valve,1998,True,2
14,Valve,1998,True,1
15,Valve,1998,True,2
16,Valve,1998,True,2
17,Valve,1998,True,1
18,Valve,1998,True,1
19,Valve,1998,True,2
20,Valve,1998,True,2
21,Valve,1998,True,2
22,Outerlight Ltd.,2006,True,0
23,Outerlight Ltd.,2006,True,0
24,Outerlight Ltd.,2006,True,1
25,Outerlight Ltd.,2006,True,1
26,Outerlight Ltd.,2006,False,0
27,Outerlight Ltd.,2006,True,2
28,Outerlight Ltd.,2006,True,2
29,Outerlight Ltd.,2006,True,2
30,Outerlight Ltd.,2006,True,2
31,Outerlight Ltd.,2006,True,0
32,Outerlight Ltd.,2006,True,0
33,Outerlight Ltd.,2006,True,0
34,Outerlight Ltd.,2006,True,1
35,Outerlight Ltd.,2006,True,1
36,Outerlight Ltd.,2006,False,0
37,Outerlight Ltd.,2006,True,2
38,Outerlight Ltd.,2006,True,2
39,Outerlight Ltd.,2006,True,2
40,Outerlight Ltd.,2006,True,2
41,Outerlight Ltd.,2006,True,0
42,Outerlight Ltd.,2006,True,0
43,Outerlight Ltd.,2006,True,0
44,Outerlight Ltd.,2006,True,1
45,Outerlight Ltd.,2006,True,1
46,Outerlight Ltd.,2006,False,0
47,Outerlight Ltd.,2006,True,2
48,Outerlight Ltd.,2006,True,2
49,Outerlight Ltd.,2006,True,2
50,Outerlight Ltd.,2006,True,2
51,Outerlight Ltd.,2006,True,0
52,Introversion Software,2006,True,2
53,Introversion Software,2006,True,2
54,Introversion Software,2006,True,2
55,Introversion Software,2006,True,2
56,Outerlight Ltd.,2006,True,2
57,Outerlight Ltd.,2006,True,2
58,Outerlight Ltd.,2006,True,2
59,Outerlight Ltd.,2006,True,2
60,Outerlight Ltd.,2006,True,2
61,Outerlight Ltd.,2006,True,2
62,Facepunch Studios,2006,True,1
63,Facepunch Studios,2006,True,2
64,Facepunch Studios,2006,True,1
65,Facepunch Studios,2006,True,2
66,Facepunch Studios,2006,True,1
67,Facepunch Studios,2006,True,2
68,Facepunch Studios,2006,True,2
69,Facepunch Studios,2006,True,2
70,Facepunch Studios,2006,True,2
71,Facepunch Studios,2006,True,1
72,Facepunch Studios,2006,True,2
73,Facepunch Studios,2006,True,2
74,Facepunch Studios,2006,True,2
75,Facepunch Studios,2006,True,2
76,Facepunch Studios,2006,True,1
77,Facepunch Studios,2006,True,2
78,Facepunch Studios,2006,True,2
79,Facepunch Studios,2006,True,1
80,Facepunch Studios,2006,True,2
81,Facepunch Studios,2006,True,0
82,Facepunch Studios,2006,True,2
83,Facepunch Studios,2006,True,2
84,Facepunch Studios,2006,True,2
85,Facepunch Studios,2006,True,2
86,Facepunch Studios,2006,True,2
87,Facepunch Studios,2006,True,1
88,Facepunch Studios,2006,True,1
89,Facepunch Studios,2006,False,1
90,Facepunch Studios,2006,True,1
91,Facepunch Studios,2006,True,1
92,Facepunch Studios,2006,True,2
93,Facepunch Studios,2006,True,0
94,Facepunch Studios,2006,True,1
95,Facepunch Studios,2006,True,2
96,Facepunch Studios,2006,True,2
97,Facepunch Studios,2006,True,2
98,Facepunch Studios,2006,True,2
99,Facepunch Studios,2006,True,0
100,Facepunch Studios,2006,True,2
