,Desarrollador,sentiment_analysis
0,Valve,0
1,Valve,2
3,Valve,2
4,Valve,2
5,Valve,0
6,Valve,2
7,Valve,2
9,Valve,2
10,Valve,2
11,Valve,2
12,Valve,2
13,Valve,2
15,Valve,2
16,Valve,2
19,Valve,2
20,Valve,2
21,Valve,2
22,Outerlight Ltd.,0
23,Outerlight Ltd.,0
26,Outerlight Ltd.,0
27,Outerlight Ltd.,2
28,Outerlight Ltd.,2
29,Outerlight Ltd.,2
30,Outerlight Ltd.,2
31,Outerlight Ltd.,0
32,Outerlight Ltd.,0
33,Outerlight Ltd.,0
36,Outerlight Ltd.,0
37,Outerlight Ltd.,2
38,Outerlight Ltd.,2
39,Outerlight Ltd.,2
40,Outerlight Ltd.,2
41,Outerlight Ltd.,0
42,Outerlight Ltd.,0
43,Outerlight Ltd.,0
46,Outerlight Ltd.,0
47,Outerlight Ltd.,2
48,Outerlight Ltd.,2
49,Outerlight Ltd.,2
50,Outerlight Ltd.,2
51,Outerlight Ltd.,0
52,Introversion Software,2
53,Introversion Software,2
54,Introversion Software,2
55,Introversion Software,2
56,Outerlight Ltd.,2
57,Outerlight Ltd.,2
58,Outerlight Ltd.,2
59,Outerlight Ltd.,2
60,Outerlight Ltd.,2
61,Outerlight Ltd.,2
63,Facepunch Studios,2
65,Facepunch Studios,2
67,Facepunch Studios,2
68,Facepunch Studios,2
69,Facepunch Studios,2
70,Facepunch Studios,2
72,Facepunch Studios,2
73,Facepunch Studios,2
74,Facepunch Studios,2
75,Facepunch Studios,2
77,Facepunch Studios,2
78,Facepunch Studios,2
80,Facepunch Studios,2
81,Facepunch Studios,0
82,Facepunch Studios,2
83,Facepunch Studios,2
84,Facepunch Studios,2
85,Facepunch Studios,2
86,Facepunch Studios,2
92,Facepunch Studios,2
93,Facepunch Studios,0
95,Facepunch Studios,2
96,Facepunch Studios,2
97,Facepunch Studios,2
98,Facepunch Studios,2
99,Facepunch Studios,0
100,Facepunch Studios,2
103,Facepunch Studios,2
104,Facepunch Studios,2
105,Facepunch Studios,2
106,Facepunch Studios,2
107,Facepunch Studios,2
109,Facepunch Studios,2
110,Facepunch Studios,2
111,Facepunch Studios,2
112,Facepunch Studios,2
114,Facepunch Studios,2
116,Facepunch Studios,2
117,Facepunch Studios,2
118,Facepunch Studios,2
119,Facepunch Studios,2
120,Facepunch Studios,2
121,Facepunch Studios,2
122,Facepunch Studios,2
123,Facepunch Studios,2
124,Facepunch Studios,2
125,Facepunch Studios,0
126,Facepunch Studios,2
127,Facepunch Studios,0
128,Facepunch Studios,2
129,Facepunch Studios,2
130,Facepunch Studios,2
131,Facepunch Studios,2
132,Facepunch Studios,2
133,Facepunch Studios,2
135,Facepunch Studios,2
136,Facepunch Studios,2
137,Facepunch Studios,0
138,Facepunch Studios,2
139,Facepunch Studios,2
140,Facepunch Studios,2
141,Facepunch Studios,0
142,Facepunch Studios,2
143,Facepunch Studios,2
144,Facepunch Studios,2
147,Facepunch Studios,2
148,Facepunch Studios,2
150,Facepunch Studios,0
151,Facepunch Studios,2
152,Facepunch Studios,2
153,Facepunch Studios,2
155,Facepunch Studios,2
156,Facepunch Studios,2
157,Facepunch Studios,2
158,Facepunch Studios,2
161,Facepunch Studios,2
162,Facepunch Studios,2
163,Facepunch Studios,2
164,Facepunch Studios,2
165,Facepunch Studios,2
166,Facepunch Studios,2
167,Facepunch Studios,2
168,Facepunch Studios,2
169,Facepunch Studios,2
170,Facepunch Studios,2
171,Facepunch Studios,2
172,Facepunch Studios,2
173,Facepunch Studios,2
174,Facepunch Studios,0
175,Facepunch Studios,2
176,Facepunch Studios,2
177,Facepunch Studios,2
178,Facepunch Studios,2
183,Facepunch Studios,2
184,Facepunch Studios,0
185,Facepunch Studios,0
186,Facepunch Studios,2
189,Facepunch Studios,2
191,Facepunch Studios,2
194,Facepunch Studios,2
195,Facepunch Studios,2
196,Facepunch Studios,0
197,Facepunch Studios,2
199,Facepunch Studios,2
201,Facepunch Studios,2
203,Facepunch Studios,2
204,Facepunch Studios,2
205,Facepunch Studios,2
207,Facepunch Studios,2
208,Facepunch Studios,2
209,Facepunch Studios,2
210,Facepunch Studios,2
211,Facepunch Studios,2
213,Facepunch Studios,2
214,Facepunch Studios,2
215,Facepunch Studios,2
216,Facepunch Studios,2
218,Facepunch Studios,2
222,Facepunch Studios,0
223,Facepunch Studios,2
224,Facepunch Studios,2
226,Facepunch Studios,2
227,Facepunch Studios,2
228,Facepunch Studios,2
230,Facepunch Studios,2
232,Facepunch Studios,2
234,Facepunch Studios,0
235,Facepunch Studios,2
236,Facepunch Studios,2
237,Facepunch Studios,2
239,Facepunch Studios,2
240,Facepunch Studios,2
241,Facepunch Studios,2
242,Facepunch Studios,2
243,Facepunch Studios,2
244,Facepunch Studios,2
245,Facepunch Studios,2
248,Facepunch Studios,2
249,Facepunch Studios,2
250,Facepunch Studios,2
251,Facepunch Studios,2
253,Facepunch Studios,0
254,Facepunch Studios,2
257,Facepunch Studios,0
259,Facepunch Studios,2
260,Facepunch Studios,2
261,Facepunch Studios,0
262,Facepunch Studios,2
263,Facepunch Studios,0
264,Facepunch Studios,2
265,Facepunch Studios,2
268,Facepunch Studios,2
270,Facepunch Studios,0
271,Facepunch Studios,2
272,Facepunch Studios,2
273,Facepunch Studios,2
276,Facepunch Studios,2
277,Facepunch Studios,2
281,Facepunch Studios,2
282,Facepunch Studios,2
283,Facepunch Studios,2
284,Facepunch Studios,2
285,Facepunch Studios,2
286,Facepunch Studios,2
287,Facepunch Studios,2
288,Facepunch Studios,2
290,Facepunch Studios,2
291,Facepunch Studios,2
293,Facepunch Studios,2
294,Facepunch Studios,2
295,Facepunch Studios,2
297,Facepunch Studios,2
299,Facepunch Studios,2
301,Facepunch Studios,2
302,Facepunch Studios,2
304,Facepunch Studios,2
305,Facepunch Studios,0
306,Facepunch Studios,2
307,Facepunch Studios,2
308,Facepunch Studios,2
